,State,Offense_Year,Offense_Type,Offense_Count
193,AK,2004,all_other_offenses,15259
194,AK,2004,arson,15
195,AK,2004,burglary,538
196,AK,2004,curfew,1
197,AK,2004,disorderly,934
198,AK,2004,driving,4950
199,AK,2004,drug_abuse_gt,1755
200,AK,2004,drug_poss_m,914
201,AK,2004,drug_poss_opium,115
202,AK,2004,drug_poss_other,142
203,AK,2004,drug_poss_subtotal,1272
204,AK,2004,drug_poss_synthetic,101
205,AK,2004,drug_sales_m,129
206,AK,2004,drug_sales_opium,219
207,AK,2004,drug_sales_other,101
208,AK,2004,drug_sales_subtotal,483
209,AK,2004,drug_sales_synthetic,34
210,AK,2004,drunkness,56
211,AK,2004,embezzlement,5
212,AK,2004,forgery,137
213,AK,2004,fraud,196
214,AK,2004,g_all,23
215,AK,2004,g_b,0
216,AK,2004,g_n,0
217,AK,2004,g_t,23
218,AK,2004,ht_c_s_a,0
219,AK,2004,ht_i_s,0
220,AK,2004,larceny,2980
221,AK,2004,liquor,1446
222,AK,2004,manslaughter,7
223,AK,2004,mvt,381
224,AK,2004,murder,31
225,AK,2004,offense_family,430
226,AK,2004,prostitution,102
227,AK,2004,prostitution_a_p_p,0
228,AK,2004,prostitution_p,0
229,AK,2004,prostitution_p_p,0
230,AK,2004,rape,80
231,AK,2004,robbery,134
232,AK,2004,sex_offense,206
233,AK,2004,simple_assault,3839
234,AK,2004,stolen_property,33
235,AK,2004,suspicion,0
236,AK,2004,vagrancy,16
237,AK,2004,vandalism,872
238,AK,2004,weapons,356
239,AK,2004,data_year,2004
240,AK,2005,aggravated_assault,1482
241,AK,2005,all_other_offenses,14961
242,AK,2005,arson,65
243,AK,2005,burglary,549
244,AK,2005,curfew,6
245,AK,2005,disorderly,1040
246,AK,2005,driving,4754
247,AK,2005,drug_abuse_gt,1885
248,AK,2005,drug_poss_m,892
249,AK,2005,drug_poss_opium,112
250,AK,2005,drug_poss_other,219
251,AK,2005,drug_poss_subtotal,1335
252,AK,2005,drug_poss_synthetic,112
253,AK,2005,drug_sales_m,138
254,AK,2005,drug_sales_opium,291
255,AK,2005,drug_sales_other,93
256,AK,2005,drug_sales_subtotal,550
257,AK,2005,drug_sales_synthetic,28
258,AK,2005,drunkness,124
259,AK,2005,embezzlement,7
260,AK,2005,forgery,130
261,AK,2005,fraud,181
262,AK,2005,g_all,2
263,AK,2005,g_b,0
264,AK,2005,g_n,0
265,AK,2005,g_t,2
266,AK,2005,ht_c_s_a,0
267,AK,2005,ht_i_s,0
268,AK,2005,larceny,3265
269,AK,2005,liquor,1580
270,AK,2005,manslaughter,3
271,AK,2005,mvt,392
272,AK,2005,murder,28
273,AK,2005,offense_family,494
274,AK,2005,prostitution,123
275,AK,2005,prostitution_a_p_p,0
276,AK,2005,prostitution_p,0
277,AK,2005,prostitution_p_p,0
278,AK,2005,rape,67
279,AK,2005,robbery,144
280,AK,2005,sex_offense,213
281,AK,2005,simple_assault,4036
282,AK,2005,stolen_property,29
283,AK,2005,suspicion,6
284,AK,2005,vagrancy,2
285,AK,2005,vandalism,981
286,AK,2005,weapons,397
287,AK,2005,data_year,2005
288,AK,2006,aggravated_assault,1392
289,AK,2006,all_other_offenses,15131
290,AK,2006,arson,43
291,AK,2006,burglary,555
292,AK,2006,curfew,0
293,AK,2006,disorderly,913
294,AK,2006,driving,4334
295,AK,2006,drug_abuse_gt,1701
296,AK,2006,drug_poss_m,805
297,AK,2006,drug_poss_opium,96
298,AK,2006,drug_poss_other,165
299,AK,2006,drug_poss_subtotal,1177
300,AK,2006,drug_poss_synthetic,111
301,AK,2006,drug_sales_m,145
302,AK,2006,drug_sales_opium,304
303,AK,2006,drug_sales_other,53
304,AK,2006,drug_sales_subtotal,524
305,AK,2006,drug_sales_synthetic,22
306,AK,2006,drunkness,172
307,AK,2006,embezzlement,8
308,AK,2006,forgery,122
309,AK,2006,fraud,165
310,AK,2006,g_all,1
311,AK,2006,g_b,0
312,AK,2006,g_n,0
313,AK,2006,g_t,1
314,AK,2006,ht_c_s_a,0
315,AK,2006,ht_i_s,0
316,AK,2006,larceny,3383
317,AK,2006,liquor,1940
318,AK,2006,manslaughter,6
319,AK,2006,mvt,385
320,AK,2006,murder,36
321,AK,2006,offense_family,345
322,AK,2006,prostitution,192
323,AK,2006,prostitution_a_p_p,0
324,AK,2006,prostitution_p,0
325,AK,2006,prostitution_p_p,0
326,AK,2006,rape,60
327,AK,2006,robbery,144
328,AK,2006,sex_offense,183
329,AK,2006,simple_assault,4130
330,AK,2006,stolen_property,16
331,AK,2006,suspicion,1
332,AK,2006,vagrancy,3
333,AK,2006,vandalism,954
334,AK,2006,weapons,400
335,AK,2006,data_year,2006
336,AK,2007,aggravated_assault,1453
337,AK,2007,all_other_offenses,15651
338,AK,2007,arson,30
339,AK,2007,burglary,470
340,AK,2007,curfew,11
341,AK,2007,disorderly,986
342,AK,2007,driving,5187
343,AK,2007,drug_abuse_gt,1759
344,AK,2007,drug_poss_m,858
345,AK,2007,drug_poss_opium,303
346,AK,2007,drug_poss_other,151
347,AK,2007,drug_poss_subtotal,1458
348,AK,2007,drug_poss_synthetic,146
349,AK,2007,drug_sales_m,108
350,AK,2007,drug_sales_opium,108
351,AK,2007,drug_sales_other,53
352,AK,2007,drug_sales_subtotal,301
353,AK,2007,drug_sales_synthetic,32
354,AK,2007,drunkness,129
355,AK,2007,embezzlement,8
356,AK,2007,forgery,136
357,AK,2007,fraud,161
358,AK,2007,g_all,0
359,AK,2007,g_b,8
360,AK,2007,g_n,0
361,AK,2007,g_t,8
362,AK,2007,ht_c_s_a,0
363,AK,2007,ht_i_s,0
364,AK,2007,larceny,3390
365,AK,2007,liquor,1847
366,AK,2007,manslaughter,4
367,AK,2007,mvt,357
368,AK,2007,murder,39
369,AK,2007,offense_family,332
370,AK,2007,prostitution,343
371,AK,2007,prostitution_a_p_p,0
372,AK,2007,prostitution_p,0
373,AK,2007,prostitution_p_p,0
374,AK,2007,rape,75
375,AK,2007,robbery,160
376,AK,2007,sex_offense,172
377,AK,2007,simple_assault,4098
